,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
182,86.94516264707522,92.32329240592077,104.01061820379083,96.10519307793153,170.45058664551843,178.63301794117967,17.270668012957483,15.233371647052035,98.1752472526187,101.04073517734749,78.43654175155096,82.30752669167184,178.13536012881536,141.40156276468454,127.14217904409671,127.67712615748785,915.57,578.513
183,86.92795369393279,92.36402006705967,103.99875790867856,96.1176385807884,170.41908736475352,178.6544075820385,17.265790275917514,15.226958200463363,98.17780247580667,101.04758516348977,78.43464707622402,82.30952120850051,178.1403655532705,148.4999632486298,127.0830291453498,142.00726091997802,915.542,578.522
184,86.90393072087036,92.380676261157,104.00657337713056,96.10789361456429,170.3980954668056,178.64651359223691,17.26837666079701,15.240424004996168,98.17941092730598,101.05490811242237,78.43604413945386,82.3135714229992,178.14659334440458,143.1166299737501,127.15020701075925,136.65077085077556,915.505,578.535
185,86.91154369641748,92.38729484952982,104.01652273617142,96.09993671030017,170.39791606442765,178.66243630792238,17.27857038879158,15.219880416929655,98.18520972661184,101.05882495550371,78.85614554812817,82.29067506520525,178.95673048118863,153.13356261708753,127.48946002933312,139.36885656847477,915.525,578.526
186,83.18332203065746,96.12396062835947,104.00042538622422,96.16629630627767,170.40740345013748,178.61228998783562,17.285206671185353,15.258372933080484,90.63216397912464,93.49427155604916,86.3964263469698,89.84428151165815,178.93350871981852,161.26311248128698,127.38039622433709,154.86045260665173,915.509,570.45
187,83.18505496073928,96.11126812758033,104.00578711166524,96.15409909281432,170.40680158956735,178.5872833973944,17.29313383523178,15.262456027991206,90.62598207662028,93.48014976059032,86.42079901841154,89.86387683682399,178.93653270705386,157.7952477961384,127.59361025657303,151.31891869237518,915.53,570.418
188,83.17144060540467,96.113687241548,103.9944248715074,96.14878979377012,170.41896476737242,178.59579568476445,17.295239041015233,15.259012001398334,90.6256111494523,93.4753488296906,86.42561919640568,89.86420755355867,178.93002900544786,158.01680045412323,127.62390442307404,151.61443243491985,915.538,570.406
189,83.16506955179116,96.10642520003162,103.97821094261093,96.1530783495791,170.42665692135034,178.5850428302867,17.28183794281989,15.266497414564615,90.62246964035184,93.48003210117359,86.40948853268931,89.86456534719392,179.3444165036513,157.97296059131216,145.36126303678958,151.55663693944655,915.523,570.438
190,83.17566595655698,96.109828837381,103.9815028012934,96.17111909950984,170.42252111415402,178.59329068954162,17.278894804397417,15.262613538799084,90.6123857349311,93.47811363908416,86.4087563288683,89.85253300519764,179.33857947953322,158.05642573555886,145.4860019299379,144.25632708757837,915.53,570.43
191,83.1844547281207,96.10732611436802,103.97463000722725,96.15732162449999,171.42114824869927,178.62440098674628,17.26983166430341,15.24157969355301,90.60410953444654,93.47391085175397,86.42958534791808,89.86274351806365,179.34132600517728,157.63008523792388,145.48477558366017,143.7329502860003,915.547,570.42
192,86.88967757415575,92.39469701372036,103.96038851816608,96.15194619868846,171.4098735352065,178.62978461948117,17.262885891606043,15.235923550117123,90.61166242767453,93.45685397045551,86.4291574166078,89.87609948426211,179.35729417941056,143.30329584186512,145.41664379450012,129.41578305863493,915.56,570.415
193,86.91312415402193,92.36668309706704,103.95735876387828,96.14643277741364,171.43905125732786,178.63411286272344,17.24669842011421,15.242217199947222,90.60608985423649,93.45731436834313,86.00772710500256,89.89065743957006,178.09669485811273,153.0078712474463,134.12866308601645,145.7177408197594,915.547,570.426
194,86.94295592491123,92.3407690291634,103.95536833425925,96.12325391476894,171.44873291252478,178.64803510947863,17.23447281270343,15.226982916145548,90.60599346381258,93.46319755010174,86.02617799302517,89.85730985323393,178.09628464485786,157.76518067730566,127.10349131252983,151.24522536975675,915.582,570.417
195,86.93702104205028,92.33373308288877,103.9556433608285,96.10896835281244,174.64796492071494,178.62173934209937,17.23618261562194,15.232961191885742,90.60953908043449,93.46067156293593,86.03914565566205,89.874213661101,178.1325381625181,153.3156274522789,127.17556399035236,146.8593715104907,915.587,570.416
196,86.9275871396874,92.32892826377375,103.95113564484741,96.0866047894538,174.6837269481193,178.6303424088789,17.24139710766676,15.218375516933069,90.60398586255076,93.45911355044338,86.46477618488254,91.91858713655866,179.376559844085,141.4479966012661,137.50548408951292,136.99151881310382,915.627,570.394
197,86.92825869084118,92.33724966532264,103.95564533829608,96.08781146060231,174.6773500943813,178.66217800637259,17.236452720025557,15.212994285128348,90.60302393687995,93.46112811401336,86.45727149934143,91.91173054133293,178.9273706991636,147.31849862626245,127.48684168045256,142.19855651291485,915.642,570.444
198,83.19931947359645,96.05985800766892,103.96628401998666,96.6733052434239,174.7067263754055,177.52064798611576,17.25530750789248,15.788847478759974,90.61222918485305,93.44726586395498,86.45691261026103,91.88860641357485,178.92916620350044,141.8443479080862,127.44489853662915,131.54512083353228,915.702,570.462
199,83.21942503697561,96.0669650071735,103.9797627862718,96.66963132544058,174.66511816944256,178.11961521250058,17.24294691935649,15.789405812901427,98.1719421783395,101.02273723535437,78.88948520262637,84.3338160221441,179.37433553905086,141.7547841015583,137.576376723459,137.51628409062957,915.681,578.575
200,79.08327819354535,90.1307980548642,99.13547323316736,90.83956989704853,174.67699349886337,178.73016369492652,17.24261712688015,15.183501276617056,98.17069328622816,101.02805378235807,78.88143327834332,84.34069669244334,179.3794479547478,151.55903323052465,137.53290344883882,153.33122046216926,915.669,578.609
201,83.94821709586468,90.10885506287266,104.42825479970726,91.43038222027548,175.10308518441008,178.12929184233866,17.918368738605285,15.790171038903459,98.41346575580621,101.03009462932431,78.85481179874898,84.34992141901064,179.33830019037077,141.71721483636324,137.32498448850095,137.4832892771244,915.653,578.626
202,83.9644084482463,90.10664210307111,104.43381677869507,91.42800333781715,175.11336501118805,178.11614118851557,17.913045971077125,15.788248049713467,98.41036892673522,101.03084221097114,78.86686316406717,84.34293207554285,178.9116582168895,147.3017520120449,127.39340754591343,142.36097267433854,915.655,578.607
