,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
475,86.49535186390206,91.88907929729262,111.00864681978251,138.91738744953608,168.38792601273875,126.55969378754149,26.51343411547789,58.47178496245802,97.1461627927987,93.88527368747827,89.26104418602503,91.01000396878294,176.1459806443607,175.19859054222363,175.52356082946335,169.52997529511902,588.213,368.851
476,86.43272625701208,91.94819930737842,111.0310417210414,138.88675710350108,168.381086682174,132.2798928167664,26.45670980272991,58.44948703436268,97.06528667823724,96.27228440236479,89.95523107921856,88.62467321633952,177.55550982989345,175.2056877369014,174.7895199954598,169.92537764582963,588.221,370.754
477,86.4110974678336,92.08795045916304,111.39917716860946,138.17354133717282,167.92588316070086,135.74412446993335,26.32070171372123,57.681214272015914,98.91673720248238,96.28798163235828,86.96096265743648,88.62903016127493,176.9397314130117,175.25715596384865,174.17536564331675,169.55522259727024,588.185,370.749
478,85.12719317536477,93.36817225965059,111.40856059980356,138.76455743947258,167.91531803971603,139.78457159986223,26.841255244591487,58.2661816005443,99.50723889584455,96.29078911000559,87.55241483765738,88.63142387438604,177.53561688441337,175.2246692387597,174.81417117121015,169.5200058792155,588.202,370.735
479,82.63147833149851,95.7616743879978,111.3669470779345,138.10003130485413,167.93446733213005,142.43220676182074,26.320849937398837,57.688270482505544,96.62164722111376,93.91165167146501,89.23785891284145,91.02482373079617,176.91988555516207,175.21707101711377,174.15099958077158,169.61746541258907,588.174,368.842
480,81.43874471492485,96.9731281178357,112.30659036312782,138.06732959978288,167.03586440022335,147.76496114643479,27.16223582983766,57.65906453876673,96.54757500564983,96.30532933723988,89.93339281176104,88.60725889262581,177.56876739756504,175.19720413537786,174.22957053897474,169.54324658042043,588.222,370.78
481,81.40463656322146,96.99249072438319,112.31360126470229,137.26375858800057,167.0340428660821,148.2014154207692,27.22994981177334,56.86199192966703,96.61099377764364,93.88863263442602,89.93507286191648,91.00485104677155,177.60147390882798,175.18912652469425,174.176695217983,169.54550142439064,588.237,368.828
482,81.35106923700909,97.06529100049143,112.29610283593001,136.56931978496297,167.04418854283705,150.66533171975811,27.16162598702256,56.151316657745824,96.54170150084083,96.29677095300306,89.94240561101873,88.61658076720282,178.33499995069485,175.20781635119786,169.7909959973099,169.62078128838624,588.232,370.762
483,81.07182872446748,97.33791801797666,111.74061714991328,135.85200565509325,168.46973689546144,152.07757741925306,26.661701746908303,55.43675728084712,98.9801652866437,96.28802580126536,86.87398393041484,88.61590101913093,176.91394667813424,175.19877122272888,174.35431227264812,169.65882539244177,588.236,370.742
484,79.86670763644892,98.53977016935588,111.76422117399756,135.8277933136504,168.4508734842463,154.4191299144101,26.611646046956068,55.424155999845745,96.52838155760442,96.3053754450889,89.25275135487699,88.58753794351803,176.88664066870965,175.24756537112648,171.27829323385714,169.7257873788576,588.238,370.779
