,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
18,83.90989611612844,90.18649788852593,129.0287081835179,137.46442739624547,90.03570753996408,87.69669147306121,52.94356053924952,55.49044184835484,98.07991570349174,98.0719971003364,85.49471703830223,87.91072161270485,175.56792254944378,179.57023311691384,179.51314550752198,146.8412123070316,224.008,188.444
19,83.90851162015177,90.19549144520415,129.04202747516862,137.47537460912577,90.05439738922391,87.69274713995232,52.94437782182278,55.502318862185085,98.07492766422403,98.06250359169093,85.49016675827795,87.92080666681274,175.58513348402707,179.59710863834405,179.89463192678886,155.73874335645903,224.005,188.441
20,83.89549518289083,90.20177657656933,129.02613841969497,137.45716892334292,90.05378975727471,87.70676665952277,52.93666289983677,55.48033828221675,98.0700443624388,98.06501382887087,85.3342423057855,87.92063097572711,175.4354226976178,179.59443738700182,179.94702892060155,155.80729975640034,224.005,188.442
21,89.79162585658615,90.18927547028798,137.4932786751607,137.4306610188256,90.65533490929995,87.73825423732593,55.7692102161452,55.45692554993812,98.34418814530815,98.05558666258385,85.32606498832422,87.91572995807243,175.43722393925512,179.5965067243758,179.9263707477654,155.67259280457958,224.007,188.442
22,89.78915045228095,90.18482649815523,137.49512984511802,137.44161931409047,90.65470856692605,87.7238123066522,55.778324575979596,55.46660526350577,98.33198416787675,98.05431756512696,85.3455935594163,87.91574521309552,175.44685200683764,179.58524754379025,179.97805789256313,155.7391112523513,224.008,188.44
23,83.89091894064227,90.18482086464788,129.0456806219056,137.4470860285086,93.21367616258235,87.71833278094863,52.96554913683917,55.47363987783945,98.08293885840979,98.0558854650428,85.33528761230015,87.9155690733562,175.45431108364625,179.59111717161724,179.9962017204254,155.7923577577445,224.008,188.442
24,89.79612684590568,90.19106464347354,137.4819220733617,137.46951096053587,90.68348207424866,87.70214445534025,55.766930455303644,55.485737446592516,98.35332476743545,98.05182276824088,85.33396871238371,87.92099757883058,175.43994568976765,179.5825701079404,179.90564290037986,155.6488010665946,224.009,188.441
25,89.79367481481371,90.18029425086715,137.48689293016602,137.4477299600151,90.65908527921302,87.73510350994651,55.77947846443039,55.46897619101302,98.35390987739439,98.06101996263533,85.33363773926159,87.90554251388409,175.43697653227218,179.58200811057426,179.483591216003,146.82209008285685,224.011,188.439
26,83.91126525803148,90.17762244480654,129.06680254974847,137.46189700478013,93.15333779370866,87.71676284607842,52.9888946830127,55.47213655741079,98.07947578164952,98.04584669344744,85.50423840242091,87.91851130073468,175.60196777804737,179.5853281938211,179.89738069914537,155.69230228591087,224.012,188.44
27,83.89614226846166,90.1865736813388,129.0520981075992,137.4697353276931,90.00554756806825,87.67743665210915,52.97483940072836,55.49443531751809,98.08653836966596,98.07074787217563,85.33180099775257,87.91287166780474,175.43251493083665,179.5828351301845,179.66757833654398,155.5045804348034,224.008,188.436
