,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
10,10,58.253730167375245,113.5930387981264,163.45221134140226,171.6771468038792,150.22033297574447,156.93763104499843,63.1027451943443,129.21577791786302,97.84755621362638,94.46979684379492,84.51057032186839,80.7491867832257,99.08358131025196,150.5512774531021,30.01940342979128,132.94401081787657,249.552,198.449
519,519,103.39205961912404,82.42868361047447,165.85033165429073,141.96501555970508,173.63414873432242,41.57501392127764,83.76833676334121,54.35442954639882,103.81259775040574,92.21488464137748,108.70688385469585,95.1374078226356,172.2186097278136,179.6356021344525,154.17689447514255,166.99780867161633,262.321,193.888
905,905,100.37823691960875,79.29194924562454,169.12844290395427,141.29497853370336,166.5240072341785,159.82199992199517,69.07591998824995,147.32104717128215,84.9149063877125,90.15356315606957,94.2972996253542,73.07189219145197,101.092525142682,149.9235992203123,110.4240335912148,142.7360868083321,252.282,197.569
1245,1245,96.0792180395154,91.72209191276946,134.52912988810394,135.55781574271717,21.725753954519742,162.1193086614148,34.79795445706149,57.12800568461018,93.24430235355516,109.2754468566889,73.83166455037382,74.17785276474982,102.16717663693552,82.03615898075044,126.26114914445054,162.39034531510455,175.624,200.249
1280,1280,89.5656408137129,99.54419622961284,139.54001199432366,140.79111899366382,23.134836574761017,137.31752645835786,39.83628124620144,61.11008244264656,93.339547910025,109.19850876207234,0.4581849416712436,166.90933416301382,104.19359824247694,108.23815256990972,27.76814045690793,67.49880835674472,175.633,200.254
1287,1287,89.3991892829164,99.38601925173025,143.36077071866956,140.82823167285392,20.519072313967115,136.55732879910627,41.49376801283984,61.15969548893095,90.80238741117638,108.94877417066378,73.88770376562798,166.54390872772998,101.9936330104735,108.8113832810031,169.89271115115227,75.96621331699937,175.622,200.25
1524,1524,89.99819165416956,99.36233848236364,175.04840057313749,120.16654255043667,168.256895965422,155.64144475782368,104.92353405420754,25.81231513701545,99.8352414613688,94.91299089082806,78.25613224104586,102.66379298347589,168.12297820194303,131.40902569034742,134.98263721904735,131.60425021689065,274.171,192.05
1581,1581,55.46568716586413,112.45135329068864,131.39894063097728,170.41434599778316,173.72976257279842,171.05242178010909,161.1982858834406,100.31727077479056,97.33582665116,95.4272769912366,1.7045829425021608,176.33076436424173,106.23480023743164,56.02377496468039,171.58868104362776,114.41369352021871,163.817,194.799
2139,2139,5.677842328141992,4.967838259532457,1.6219573062953183,179.73989625516083,104.64254655076468,37.72394201590367,12.75358437104333,97.40230268819646,10.156280899410111,114.69435093949348,87.22935753671737,66.2337781004846,162.75753184125736,166.79469777766238,120.55963787575398,128.28070722508937,286.96,193.872
2205,2205,82.54795885795116,94.46025425836756,170.617847706762,119.72334445373212,138.92140595848747,156.72362463858218,93.46799904493118,166.26223814710164,92.49896131310884,94.45813281780984,106.91113096623396,97.12963861377166,175.7777347296431,88.80087864931527,171.07100887111255,73.46782395739405,257.763,192.982
