,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
21,21,127.91945661548264,60.44943244820196,172.06454516251551,130.97869588834072,157.21330407253126,153.49665971175352,86.92608395981759,153.41296959947272,92.59086230853796,90.342983520337,96.62570341414911,74.32513836606341,174.9073734962965,163.535314543339,176.0570587983625,130.16438823226594,141.877,189.357
144,144,109.54379003706887,76.48857919325324,126.12302006627507,138.01891822822577,171.14754705014485,173.91004650068024,43.65203098186191,45.765256772674434,106.59536986372176,93.618486932403,87.15975762335667,88.13545787504742,178.16804116034405,177.68802874557034,152.53172742572485,167.26626458423507,244.951,190.229
259,259,59.19835667241511,114.6608198821156,146.565852546354,178.18736484475602,157.42999949326713,147.36051727906337,148.13773447016823,84.11469747932769,97.6321631862144,91.31050887236688,73.67647859853368,94.26822080225206,158.04471692628186,175.23985335637738,158.05980823521213,163.73790981078776,295.124,174.723
337,337,68.36850625803997,111.78850595337252,129.83761694552032,118.55459290684412,164.76597376381298,163.57998902918607,41.50871682587108,35.16908395637323,91.83626199180313,96.70073956608076,84.7703657422498,88.44944054828873,177.59306113183658,176.6272090270937,158.59046220326948,157.50509754586037,195.707,172.937
487,487,113.77939439074538,66.14092792821762,176.04196190344825,131.2964964489779,143.94432435356708,159.46878992584345,84.92864225954703,154.16250622867648,112.64977051772011,90.47303316370902,106.85483409764218,72.69139495126035,144.17314771452712,165.76459389358712,77.37523248763021,119.42450901592956,209.404,194.792
515,515,116.05246839418808,76.13050981128805,170.71955721295333,142.15410011869693,20.723050339329177,133.9143498615294,73.62187159087237,138.91670052295885,107.70247446362184,103.10710293571614,88.08746973817104,73.6616697346398,170.14174707072382,168.97946250310648,153.90839261690465,169.23333696804914,127.245,135.521
673,673,94.32269305456586,85.63481694263858,137.9421033056281,140.6551710626652,168.9234663015664,154.81417297482872,51.917244512406434,56.59683986203756,93.86460998833816,95.89940940019648,75.015791205301,81.2532152720469,175.33345690014832,177.9189305783364,159.95127046978286,146.28212146969494,236.736,173.818
753,753,68.030701009223,116.75436923185292,128.45567244239157,165.36406062708295,168.98765237282785,161.72910149566542,168.10928046523327,86.88823629327044,95.44380179662475,55.620070554003,80.68484106311362,129.66723666129786,162.36798008919246,176.82219660797512,179.65088623429497,179.46457764106088,287.819,172.921
899,899,-1.0,-1.0,144.9618430301161,153.1833597869945,179.6215323650155,174.2527356150151,129.57851167733918,125.5507348977122,94.47525185596976,98.94590954353956,84.27295571152072,86.99307481751919,170.23272155629027,157.69237147495386,146.2105975640169,142.56925836093137,180.24,162.869
