,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
3,3,90.82664928373632,89.08751600438558,100.96924802539765,93.77663915307156,178.3509626698663,170.98749823435367,14.492288441027371,17.058343035096257,98.5370475290154,98.1003742198969,87.6529413720574,87.75177583032658,179.97355961423875,175.3876006181161,159.7357498181363,132.9132102044092,967.369,570.398
86,86,90.65548629565562,88.26357698097348,100.89254935574236,96.1546970110478,179.06807296382055,179.16513676985804,14.555877264319864,15.24945673196084,91.48851129764311,93.4721228781958,83.55833858787734,89.81812391164335,174.57575596851348,162.13995313967615,125.0185082642456,9.142853718750048,923.876,570.35
243,243,86.94450687358187,92.35210288147394,101.17847473451492,99.55074653083663,172.10507099409904,175.99610800406728,14.473185429016327,18.621198530936987,98.20063441482624,101.01524142227596,78.89732530507358,84.3893934023055,178.96308529555222,151.33241323740026,127.4166318694604,146.5207935292975,915.735,578.538
437,437,82.18153206882182,92.2930741933952,96.30478111598786,99.96128411872068,175.57445802594754,179.87123649061346,14.252930311829978,18.926232318164494,91.25467033317284,93.48569605623528,85.13121114247322,89.81896345958754,178.13700517526183,158.39633046848328,127.01320454075316,151.39161641695966,923.739,570.38
