,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
38,38,90.36507064061956,88.16431713181588,111.66056950379476,145.386714729751,165.2171094926527,173.0219719009142,26.07138759543881,65.44580096843549,96.05797780146806,96.9106289542742,89.26920222982679,88.62094993611558,176.90318556399347,175.26804842695452,178.17399706842954,173.0564489422067,586.339,368.803
141,141,88.73628651381958,88.27981974349787,109.80426413060884,151.71174714832716,165.71996546873714,43.2654086590111,25.63091128203117,71.64537802700936,93.52085992476896,94.39959196651868,92.39883737548082,91.00973301193804,177.63409897040302,175.19695172908374,178.70378220854727,169.94979447069073,588.243,368.836
205,205,90.01454424586078,88.45729746908138,110.73381614278148,141.10833698415416,164.64253067645575,178.31970774867364,26.606319352166167,59.61921883468825,95.9372981767394,96.85950492725344,89.96245218063832,88.5913158685286,177.56681192585367,175.23116502808097,178.2410774153762,169.18401831024505,588.22,370.747
268,268,88.79910245016939,89.67647459884734,111.07437829494586,150.0565713220511,164.43758090937024,42.42866248000212,26.948259829008585,68.04511575871685,95.92983797016753,96.34080781648886,89.3104354962678,87.9507286760667,176.10991999793504,174.51977470169842,179.0827169639677,169.54319066048754,588.303,370.749
352,352,71.8583138080695,105.01686977839832,113.43488289594043,134.5885524340878,167.42770119013693,179.908715223521,26.64731388604489,56.78041020987879,96.55891733914574,95.67100390725868,89.98970036756388,87.92335536424406,176.86768550494324,174.61205124587056,178.82053156342167,173.02621525753884,590.174,368.803
435,435,95.55231757729555,82.92561767233687,113.26268752000938,143.94626399841098,165.15628138299633,42.23773085172016,27.636295876524372,62.98247515020573,98.48927104371217,95.74549862592504,86.88117781195861,87.96797272918624,176.16503716785766,174.50695947462813,178.91395591952946,169.51499536277984,588.305,370.741
576,576,92.70662032778664,85.79595370702046,111.11995724509548,147.79660914745006,167.55436873083408,45.63921161351771,26.60318487577692,66.35723489864881,98.03897308408908,94.57370342548715,86.81544503794142,91.0103477555284,177.64343621770854,175.23851877235748,173.62383153670373,169.6624377883063,586.345,366.847
