,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
7,7,65.62924402996805,114.52735646115786,90.07221597022443,111.65524243628282,179.61549474790294,136.29749904278574,7.788153695883838,23.78939695966872,97.89686869179076,91.988912522373,81.27346202009454,92.26796625337649,178.5607339536832,177.85311866583854,118.28185079563426,119.63687998945912,223.122,192.092
84,84,91.74501675968963,100.41981582135028,104.05166671321405,125.82288989207144,145.66051368224552,118.50093625366068,18.160030768956524,33.78086266199935,100.10313428577082,94.14957302909086,78.90065650884004,92.11075724080597,179.59610296100448,177.74754070971758,124.26687573946424,123.86281217816848,223.117,193.003
223,223,74.3425392220652,112.43377118705264,135.4377443940417,137.7275669322162,176.6485093633627,158.9577923631871,30.31832886286015,150.78223838862087,91.1581358570408,97.11962503249882,82.82190572741752,73.78157494527359,137.68293773848208,177.38761731135222,90.84185383535464,164.91643765368232,228.572,198.427
274,274,65.60092919126015,114.612669681315,176.98279153598753,54.03961705347145,143.1746665903392,73.92303052459467,107.21043550729108,39.02455092603915,97.51975579948228,89.48230051995519,76.02377979654112,69.77815534611021,150.80464912030595,164.0641931040342,102.24634134165636,141.51458692745828,232.225,204.861
285,285,20.26738180194621,160.43007141682764,115.20953603283748,82.22761782096948,169.28583294068787,163.0750927006146,46.18323532799946,12.337743354451735,114.04986683458998,78.4889018234248,91.92825522285511,79.30343990922592,128.0409736737698,175.14153168178495,90.41751906331312,178.29919395027585,250.441,194.82
301,301,89.00860482113471,85.58309087377424,141.69792837730847,176.39284936419787,59.06901896080313,179.7348208900159,64.97781975578451,93.71692300461932,106.501767386494,97.6295799478648,68.10059397442633,87.77151755226816,170.63353630773346,173.36910596330583,151.40295766275906,152.48297273695653,243.147,183.832
364,364,116.42518286562787,65.11669190317875,138.04672472107123,127.44770431324748,179.94204555634298,159.32325275083355,41.76348504995698,164.3386915484485,101.78241362035548,95.24842841878866,86.02013279697793,74.574562231347,179.94685381047913,175.95837836042745,145.76224416296049,154.34150526218792,240.408,184.77
380,380,56.750015544665246,113.17552300880484,128.378244607046,168.00373607628822,175.44432580463032,179.860093526307,176.89082794373095,63.00450138959249,100.8636488042324,98.26536885317,70.76708487894759,83.93776283190472,177.81890504590427,167.8527384685993,161.36822046166802,154.55851987003382,227.647,183.834
421,421,118.54611844090908,61.59325156894226,120.2412541925148,116.65781930164717,104.74282914031318,155.14487127621538,44.24620098930236,28.61621042873345,92.94128798620858,92.73471574580168,81.18732735716337,91.61849998483927,177.55627819437584,152.3084876473209,168.69500499021706,109.4694878531828,218.512,196.654
470,470,98.40131294722124,82.22679693903281,135.39038700165764,162.9013156687475,166.72330293304935,173.5150562224089,147.6016805970912,74.49908398701196,97.34299896413494,97.90024605492177,75.51590494327333,81.79232281510626,173.1530470157623,179.62638154409956,165.02226507030937,160.03126088652562,216.732,187.541
